ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,POCUPADA,PDESOCUP,CVEGEO
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,20,42,16,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,21,84,40,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,22,61,27,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,23,70,28,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,24,72,34,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,25,63,25,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,26,106,54,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,27,34,13,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,28,92,34,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,29,76,26,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,30,36,17,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,31,36,19,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,32,29,11,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,33,0,0,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,34,0,0,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,36,50,20,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,37,65,32,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,38,41,19,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,40,0,0,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,491,43,8,5,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,1,82,14,8,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,2,70,31,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,3,84,38,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,5,71,34,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,7,117,47,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,8,90,42,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,9,0,0,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,10,72,26,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,11,98,40,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,12,87,33,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,13,27,15,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,14,70,36,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,15,47,17,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,16,57,22,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,18,50,17,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,19,74,30,,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,20,58,27,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,21,95,40,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,22,87,50,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,23,74,34,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,24,69,32,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,25,36,15,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,26,67,27,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,27,40,15,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,28,101,51,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,29,130,68,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,30,103,59,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,31,54,24,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,32,76,35,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,33,22,10,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,34,26,15,0,3.1079E+15
31,Yucatán,79,Tekax,1,Tekax de Álvaro Obregón,504,35,28,16,0,3.1079E+15
